spend_id,movie_id,channel,month,year,spend_usd,impressions,clicks,conversions
MS0001,M006,Social Media,10,2025,205238,518179,18928,968
MS0002,M013,TV Ads,1,2025,81243,2555789,120440,16506
MS0003,M015,Search Ads,9,2025,207308,3196102,184634,16819
MS0004,M007,YouTube,3,2024,270835,3493190,47158,7940
MS0005,M014,Influencer,8,2025,424451,2656693,85100,15299
MS0006,M009,YouTube,6,2024,477907,294814,14736,2466
MS0007,M004,TV Ads,4,2025,419604,4298174,285263,15499
MS0008,M005,Search Ads,3,2025,428869,3442659,245502,41119
MS0009,M006,YouTube,10,2025,377315,2475905,34151,3738
MS0010,M004,Influencer,3,2024,495151,500460,5325,1010
MS0011,M002,Influencer,7,2025,101702,1326375,40570,7890
MS0012,M012,YouTube,10,2024,354270,4025767,127790,8964
MS0013,M007,Social Media,2,2025,24548,919532,14284,1316
MS0014,M015,Email,11,2025,456581,4272493,286556,25125
MS0015,M001,Email,7,2025,13208,4553427,50319,6098
MS0016,M012,TV Ads,10,2025,269278,4737800,89779,16267
MS0017,M008,TV Ads,12,2025,497968,164252,12346,1123
MS0018,M013,TV Ads,12,2024,147951,1426653,78040,8876
MS0019,M015,Search Ads,8,2025,96310,498549,12100,1060
MS0020,M004,Email,1,2025,235487,2950103,173319,27631
MS0021,M009,Email,3,2025,193686,1466027,52476,4707
MS0022,M003,YouTube,5,2025,74700,4726582,277120,23523
MS0023,M013,Influencer,5,2025,404485,2301122,30605,4632
MS0024,M011,TV Ads,4,2024,202637,2442489,135935,13699
MS0025,M002,Influencer,5,2025,83370,1673607,34796,5460
MS0026,M011,Influencer,4,2024,335472,761914,31659,5862
MS0027,M011,Email,9,2025,163862,1445509,63963,3492
MS0028,M011,Social Media,11,2024,98980,660489,48111,4957
MS0029,M013,TV Ads,1,2025,453964,614314,32234,3483
MS0030,M006,TV Ads,6,2024,384739,1680425,20709,2926
MS0031,M005,YouTube,1,2024,337223,1974659,65502,5530
MS0032,M014,Influencer,8,2025,492781,921047,42395,6667
MS0033,M009,YouTube,3,2025,160263,4363326,320050,56451
MS0034,M005,Email,4,2025,143375,3065406,86799,9905
MS0035,M012,Search Ads,9,2024,44580,4035523,210628,17401
MS0036,M001,TV Ads,9,2025,346481,2738536,73569,10252
MS0037,M009,Email,10,2025,278693,2192926,156112,25024
MS0038,M010,Search Ads,10,2024,286663,4365875,280938,51332
MS0039,M005,Influencer,2,2025,174889,4086940,206448,14436
MS0040,M014,Social Media,12,2025,245622,1203687,33420,2836
MS0041,M012,Email,11,2024,142452,1518254,43643,8103
MS0042,M010,Social Media,3,2024,245683,1415112,65806,5642
MS0043,M011,TV Ads,10,2024,355784,4661265,209746,22817
MS0044,M003,Email,4,2024,281099,4367481,326210,51134
MS0045,M003,TV Ads,3,2024,73505,425659,28576,1492
MS0046,M001,Social Media,1,2024,43046,4429034,163944,18869
