perf_id,movie_id,city,month,year,views,avg_rating,engagement_score,revenue_usd
RP0001,M005,Chennai,4,2024,21257,6.5,0.57,45584
RP0002,M008,Delhi,11,2024,15311,4.2,0.72,35631
RP0003,M008,Kolkata,3,2024,35288,9.1,0.35,82034
RP0004,M008,New York,5,2025,6554,4.9,0.54,19161
RP0005,M005,Bangalore,7,2025,48939,5.4,0.85,104054
RP0006,M011,Mumbai,2,2025,33140,5.1,0.93,88624
RP0007,M015,Mumbai,12,2025,44848,8.4,0.87,114402
RP0008,M004,Ahmedabad,8,2024,29644,7.2,0.56,38827
RP0009,M004,Ahmedabad,1,2024,13278,5.5,0.34,34105
RP0010,M015,Kolkata,3,2025,41741,9.1,0.34,117664
RP0011,M006,New York,11,2024,21830,4.2,0.9,37320
RP0012,M011,Bangalore,2,2025,12177,5.0,0.6,31863
RP0013,M004,Pune,1,2025,8358,5.2,0.67,20722
RP0014,M013,Pune,9,2024,14761,6.7,0.41,8675
RP0015,M002,Pune,10,2025,13483,5.9,0.4,32883
RP0016,M003,Mumbai,10,2024,47741,7.2,0.71,81713
RP0017,M004,Bangalore,12,2025,23042,9.3,0.53,62976
RP0018,M011,Hyderabad,4,2024,45253,4.9,0.72,109835
RP0019,M008,London,4,2024,15366,4.0,0.54,25879
RP0020,M012,Kolkata,4,2024,15052,5.2,0.58,26614
RP0021,M001,Pune,2,2024,31271,7.0,0.6,55619
RP0022,M007,Ahmedabad,2,2024,40289,8.6,0.43,24029
RP0023,M001,Delhi,3,2025,32703,4.5,0.72,94196
RP0024,M009,New York,11,2024,15066,7.9,0.93,26101
RP0025,M013,Pune,12,2025,41805,6.9,0.47,62972
RP0026,M004,Ahmedabad,5,2024,21754,4.8,0.94,63313
RP0027,M012,Bangalore,3,2024,10511,7.5,0.79,12929
RP0028,M003,New York,11,2024,23182,7.9,0.73,51309
RP0029,M014,Bangalore,12,2025,12567,6.2,0.55,32078
RP0030,M010,Hyderabad,6,2024,22620,9.0,0.46,62040
RP0031,M013,Ahmedabad,4,2024,47820,8.7,0.37,30535
RP0032,M007,Ahmedabad,5,2024,45305,8.6,0.3,98425
RP0033,M004,Chennai,2,2025,37127,4.8,0.88,25221
RP0034,M013,Bangalore,7,2024,25755,6.8,0.49,38587
RP0035,M010,Ahmedabad,11,2025,47692,6.1,0.5,56854
RP0036,M008,Kolkata,6,2025,3451,7.1,0.82,9807
RP0037,M011,Kolkata,2,2025,4910,9.4,0.47,3406
RP0038,M013,Kolkata,6,2025,44620,5.5,0.67,97107
RP0039,M010,Pune,10,2024,47744,7.3,0.59,83152
RP0040,M013,Mumbai,8,2024,12615,8.5,0.31,11628
RP0041,M003,Mumbai,2,2025,44190,4.5,0.77,32016
RP0042,M005,Hyderabad,10,2024,5303,8.1,0.58,15201
RP0043,M007,New York,10,2025,30827,6.2,0.67,55736
RP0044,M004,Bangalore,7,2025,5362,8.9,0.45,13376
RP0045,M013,Bangalore,8,2025,12648,7.7,0.32,36652
RP0046,M012,New York,9,2025,38299,7.6,0.57,41863
RP0047,M011,London,12,2025,14131,5.1,0.69,29320
RP0048,M007,Chennai,4,2024,22049,9.2,0.74,54330
RP0049,M011,Bangalore,4,2024,22446,4.8,0.4,44111
RP0050,M006,Kolkata,8,2025,2041,5.5,0.48,4286
RP0051,M013,Ahmedabad,1,2024,19118,4.0,0.57,36384
RP0052,M007,Chennai,9,2025,20565,6.7,0.49,33306
RP0053,M008,Delhi,7,2024,20784,6.1,0.53,46276
RP0054,M001,Kolkata,1,2024,17338,6.2,0.53,38968
RP0055,M008,Mumbai,10,2025,13553,9.4,0.67,27663
RP0056,M008,Delhi,2,2025,29426,4.8,0.75,31098
RP0057,M004,Kolkata,10,2025,3747,8.0,0.42,5149
RP0058,M003,Bangalore,8,2025,35169,7.7,0.58,38226
RP0059,M002,London,5,2025,21079,7.4,0.53,25384
RP0060,M011,Hyderabad,5,2025,28983,8.1,0.87,82753
RP0061,M005,Hyderabad,5,2025,49345,8.3,0.81,62341
RP0062,M002,London,10,2024,26420,8.1,0.46,59820
RP0063,M014,Chennai,10,2025,17439,5.6,0.67,20475
RP0064,M007,Mumbai,9,2024,17788,4.8,0.33,23488
RP0065,M007,London,12,2025,8908,8.0,0.44,17273
RP0066,M014,New York,10,2025,35442,4.5,0.4,103431
RP0067,M015,Ahmedabad,3,2024,37921,7.8,0.37,64345
RP0068,M001,Kolkata,5,2025,31887,5.1,0.71,78471
RP0069,M006,Ahmedabad,10,2024,22564,8.7,0.38,25070
RP0070,M001,Chennai,10,2025,20276,8.7,0.55,13386
RP0071,M012,Hyderabad,10,2024,40538,8.5,0.39,94990
RP0072,M006,Bangalore,2,2024,7488,8.0,0.6,19814
RP0073,M014,New York,12,2025,23846,5.0,0.68,49361
RP0074,M014,Mumbai,9,2025,31390,9.3,0.35,60713
RP0075,M004,Chennai,12,2025,5007,7.0,0.42,11212
RP0076,M007,Hyderabad,2,2024,25920,5.2,0.65,36999
RP0077,M015,Chennai,3,2024,13915,8.6,0.4,30291
RP0078,M003,Hyderabad,4,2025,2694,6.5,0.42,4085
RP0079,M011,Mumbai,5,2024,7563,7.6,0.76,11641
RP0080,M012,Pune,9,2024,45926,4.2,0.81,136466
RP0081,M011,Bangalore,10,2025,21064,6.1,0.68,13171
RP0082,M015,Delhi,11,2025,43348,6.4,0.49,72154
RP0083,M004,Chennai,4,2025,2960,4.3,0.45,7355
RP0084,M014,Mumbai,3,2024,24526,8.5,0.7,29451
RP0085,M007,Bangalore,8,2025,22673,8.0,0.79,54345
RP0086,M004,Bangalore,9,2024,13675,7.4,0.45,11496
RP0087,M003,Pune,10,2024,22139,5.2,0.87,23784
RP0088,M004,Chennai,7,2025,13428,6.4,0.78,10838
RP0089,M015,Ahmedabad,6,2024,28534,6.4,0.58,69616
RP0090,M010,Kolkata,6,2024,40474,8.9,0.34,48365
RP0091,M006,Mumbai,2,2024,14302,9.0,0.78,27035
RP0092,M005,Bangalore,4,2024,32457,5.2,0.77,93375
RP0093,M003,Bangalore,9,2025,3558,6.5,0.92,8891
RP0094,M013,Mumbai,2,2025,49088,7.9,0.92,105774
RP0095,M003,Mumbai,6,2024,19680,6.4,0.87,30188
RP0096,M014,New York,8,2024,17470,8.6,0.61,36515
RP0097,M008,Chennai,7,2024,21544,7.4,0.84,61169
RP0098,M003,Mumbai,7,2025,17782,7.5,0.45,47673
RP0099,M008,Ahmedabad,11,2024,10598,5.9,0.87,6997
RP0100,M003,London,1,2025,21252,6.1,0.79,25595
RP0101,M005,Bangalore,4,2025,33735,5.4,0.42,65226
RP0102,M002,Delhi,3,2024,12709,4.5,0.33,23223
RP0103,M009,Hyderabad,12,2025,3250,9.4,0.66,8184
RP0104,M012,Mumbai,11,2024,40751,6.5,0.33,104361
RP0105,M005,Mumbai,11,2024,45954,7.3,0.53,90501
RP0106,M010,Chennai,12,2025,40952,5.0,0.51,111159
RP0107,M013,Ahmedabad,2,2024,7669,5.0,0.89,21959
RP0108,M012,Hyderabad,4,2025,17180,5.0,0.31,45404
RP0109,M003,Delhi,7,2024,9959,6.1,0.51,25169
RP0110,M010,Pune,4,2024,42839,8.1,0.3,79207
RP0111,M004,Chennai,5,2025,13761,6.4,0.89,7517
RP0112,M009,Ahmedabad,9,2025,34484,4.1,0.6,86592
RP0113,M001,London,11,2025,25022,8.2,0.74,16975
RP0114,M013,Hyderabad,11,2025,21027,6.7,0.71,58022
RP0115,M007,Hyderabad,3,2025,28492,6.3,0.47,46466
RP0116,M008,Kolkata,3,2024,31574,9.0,0.67,17171
RP0117,M002,Kolkata,9,2024,26672,4.8,0.69,15188
RP0118,M006,Bangalore,3,2025,38032,4.6,0.51,101230
RP0119,M015,Hyderabad,1,2024,27403,7.3,0.51,59248
RP0120,M010,Hyderabad,7,2024,26860,6.5,0.77,23782
RP0121,M007,London,12,2025,11795,7.7,0.92,7157
RP0122,M007,Kolkata,11,2025,5480,7.4,0.32,11902
RP0123,M006,Hyderabad,4,2024,6863,5.2,0.65,18038
RP0124,M001,London,9,2024,18365,7.9,0.4,46781
RP0125,M002,Bangalore,2,2024,12085,8.3,0.54,14987
RP0126,M011,Kolkata,9,2024,7882,8.8,0.65,14498
RP0127,M007,Mumbai,2,2024,20026,6.9,0.47,36909
RP0128,M007,Chennai,3,2024,20770,4.2,0.55,39983
RP0129,M009,Ahmedabad,11,2025,33125,5.3,0.5,43666
RP0130,M012,Pune,5,2025,25909,8.1,0.8,20646
RP0131,M007,Bangalore,4,2025,47962,7.6,0.37,40876
RP0132,M015,Bangalore,3,2024,29081,5.1,0.31,64718
RP0133,M001,Bangalore,10,2025,19133,6.9,0.82,14960
RP0134,M012,New York,10,2024,32324,4.5,0.86,52244
RP0135,M014,London,10,2025,27124,7.2,0.64,57752
RP0136,M009,Hyderabad,2,2024,46264,4.3,0.87,71969
RP0137,M001,Bangalore,12,2024,48832,4.3,0.53,48430
RP0138,M003,Kolkata,4,2025,35839,5.0,0.36,46748
RP0139,M001,Bangalore,5,2024,21906,8.9,0.88,41064
RP0140,M001,New York,12,2024,23783,9.1,0.85,48514
RP0141,M011,London,1,2024,37498,6.5,0.65,59265
RP0142,M014,Pune,4,2024,30475,5.0,0.66,83008
RP0143,M015,London,7,2024,33372,5.2,0.61,91783
RP0144,M002,Kolkata,11,2024,33638,8.9,0.93,93602
RP0145,M013,Bangalore,7,2025,26877,4.6,0.58,33912
RP0146,M013,Mumbai,2,2024,7621,4.9,0.63,6798
RP0147,M015,London,3,2024,15285,7.7,0.85,35579
RP0148,M004,Bangalore,8,2024,23393,6.9,0.51,66546
RP0149,M012,Mumbai,7,2025,46395,6.7,0.36,28237
RP0150,M013,Kolkata,10,2024,41731,4.0,0.88,77017
RP0151,M002,Chennai,4,2024,43372,7.4,0.6,69893
RP0152,M007,Ahmedabad,9,2024,8153,5.9,0.69,15889
RP0153,M009,Hyderabad,9,2025,42656,5.9,0.62,99647
RP0154,M001,Bangalore,12,2025,47436,6.1,0.75,121196
RP0155,M009,Bangalore,10,2025,25696,7.2,0.36,33640
RP0156,M004,London,9,2024,20688,5.9,0.45,24454
RP0157,M007,Mumbai,8,2025,41674,8.9,0.68,84163
RP0158,M008,Ahmedabad,3,2025,18071,6.3,0.94,22792
RP0159,M013,London,10,2025,29196,6.7,0.67,54979
RP0160,M010,Chennai,11,2025,30468,5.4,0.53,62292
RP0161,M010,Pune,5,2024,19127,9.2,0.43,38649
RP0162,M009,Delhi,7,2025,20309,5.3,0.85,36504
RP0163,M011,Hyderabad,7,2024,23002,9.5,0.49,45100
RP0164,M001,Chennai,6,2024,17881,8.4,0.41,37550
RP0165,M013,Mumbai,6,2024,26353,4.7,0.88,15245
RP0166,M007,Ahmedabad,1,2025,9644,6.2,0.66,26562
RP0167,M001,Bangalore,5,2025,36175,6.0,0.37,38113
RP0168,M009,London,9,2024,35864,8.8,0.82,47509
RP0169,M005,New York,9,2024,44196,7.4,0.78,51036
RP0170,M014,Delhi,9,2025,49226,6.3,0.86,26405
RP0171,M015,Kolkata,1,2024,29799,4.0,0.33,40594
RP0172,M007,Pune,2,2025,44987,7.5,0.31,131389
RP0173,M006,Chennai,2,2025,25888,8.2,0.42,41309
RP0174,M009,Chennai,7,2025,44079,7.1,0.63,74918
RP0175,M012,Delhi,9,2025,1778,4.9,0.87,4461
RP0176,M001,Hyderabad,7,2025,7905,8.9,0.38,8516
RP0177,M015,Chennai,5,2024,19874,7.3,0.91,29482
RP0178,M005,Kolkata,7,2025,44098,8.5,0.54,55219
RP0179,M001,Bangalore,3,2024,25261,5.8,0.52,50355
RP0180,M014,Bangalore,6,2025,31805,8.2,0.42,83894
RP0181,M002,Mumbai,6,2024,40410,5.2,0.71,86872
RP0182,M008,Chennai,8,2025,2426,6.6,0.55,4495
RP0183,M011,Kolkata,10,2024,21843,7.3,0.51,16185
RP0184,M014,New York,4,2025,15688,4.0,0.84,45865
RP0185,M005,Kolkata,4,2024,22324,4.9,0.84,61361
RP0186,M001,Hyderabad,7,2024,717,7.6,0.92,2026
RP0187,M002,Ahmedabad,4,2024,47497,7.5,0.6,42397
RP0188,M013,New York,11,2024,18240,7.4,0.66,41603
RP0189,M006,Kolkata,3,2024,36816,7.2,0.5,81111
RP0190,M006,Kolkata,2,2025,9671,4.6,0.63,16664
RP0191,M010,Ahmedabad,2,2024,6007,5.8,0.33,15793
RP0192,M001,Chennai,10,2024,24307,5.4,0.6,28514
RP0193,M004,Hyderabad,6,2024,24494,5.6,0.87,57058
