viewer_id,age_group,gender,city,subscription_plan,join_date,is_active
V0001,35-44,Female,Chennai,Free,2024-04-04,Yes
V0002,35-44,Male,Ahmedabad,Family,2023-08-04,No
V0003,35-44,Male,Hyderabad,Premium,2022-05-27,No
V0004,45-54,Female,Hyderabad,Basic,2023-08-21,No
V0005,18-24,Male,Bangalore,Basic,2022-04-04,No
V0006,18-24,Female,Pune,Family,2023-09-03,Yes
V0007,18-24,Non-binary,Delhi,Premium,2023-07-21,Yes
V0008,35-44,Female,Bangalore,Family,2022-04-25,Yes
V0009,35-44,Non-binary,Bangalore,Free,2024-01-10,Yes
V0010,55+,Non-binary,Hyderabad,Basic,2024-05-11,Yes
V0011,25-34,Non-binary,New York,Free,2024-02-20,Yes
V0012,18-24,Male,Kolkata,Premium,2023-05-16,Yes
V0013,25-34,Non-binary,Delhi,Free,2022-03-01,No
V0014,18-24,Non-binary,Bangalore,Basic,2024-04-15,No
V0015,25-34,Female,New York,Family,2023-07-17,Yes
V0016,25-34,Non-binary,Chennai,Family,2023-07-07,Yes
V0017,55+,Female,Delhi,Basic,2023-03-25,Yes
V0018,35-44,Male,London,Basic,2022-03-07,Yes
V0019,18-24,Non-binary,Mumbai,Basic,2022-01-08,Yes
V0020,35-44,Male,New York,Basic,2022-02-02,Yes
V0021,45-54,Male,New York,Basic,2023-11-17,No
V0022,45-54,Female,Hyderabad,Free,2022-09-06,Yes
V0023,45-54,Female,Pune,Family,2023-11-06,No
V0024,18-24,Non-binary,Delhi,Free,2024-06-03,No
V0025,35-44,Male,Hyderabad,Basic,2024-01-16,Yes
V0026,45-54,Male,Pune,Basic,2023-07-04,Yes
V0027,25-34,Male,Ahmedabad,Free,2023-04-19,Yes
V0028,55+,Male,Delhi,Basic,2023-10-30,Yes
V0029,45-54,Female,Hyderabad,Family,2023-02-21,Yes
V0030,45-54,Male,Pune,Premium,2022-06-18,No
V0031,45-54,Non-binary,New York,Family,2022-10-20,Yes
V0032,35-44,Male,Mumbai,Free,2022-07-14,Yes
V0033,18-24,Non-binary,Ahmedabad,Basic,2022-02-28,Yes
V0034,18-24,Male,Delhi,Free,2023-06-05,Yes
V0035,18-24,Non-binary,Hyderabad,Free,2023-02-18,Yes
V0036,55+,Non-binary,New York,Premium,2023-03-06,Yes
V0037,35-44,Male,Chennai,Family,2022-07-29,Yes
V0038,35-44,Female,Kolkata,Free,2023-11-19,Yes
V0039,55+,Non-binary,Delhi,Free,2023-04-15,Yes
V0040,35-44,Male,Kolkata,Free,2023-06-03,Yes
V0041,35-44,Male,Ahmedabad,Premium,2023-01-14,Yes
V0042,55+,Female,Delhi,Basic,2023-11-15,Yes
V0043,18-24,Non-binary,New York,Basic,2022-04-29,Yes
V0044,55+,Male,Kolkata,Basic,2022-10-16,Yes
V0045,45-54,Female,Mumbai,Free,2023-06-02,No
V0046,35-44,Male,Mumbai,Premium,2024-04-29,Yes
V0047,35-44,Male,Ahmedabad,Family,2023-10-15,Yes
V0048,18-24,Non-binary,Bangalore,Free,2022-04-25,Yes
V0049,55+,Male,Pune,Basic,2023-08-20,Yes
V0050,35-44,Male,Kolkata,Basic,2022-11-12,Yes
V0051,18-24,Female,New York,Family,2023-11-14,Yes
V0052,25-34,Male,Pune,Free,2022-08-31,Yes
V0053,35-44,Female,Hyderabad,Premium,2024-01-25,Yes
V0054,18-24,Female,Mumbai,Family,2024-03-17,Yes
V0055,45-54,Female,Chennai,Basic,2022-07-24,Yes
V0056,25-34,Female,Kolkata,Premium,2022-01-25,Yes
V0057,35-44,Female,New York,Family,2024-03-02,Yes
V0058,18-24,Female,Bangalore,Premium,2022-01-29,Yes
V0059,55+,Female,Kolkata,Premium,2022-04-22,No
V0060,55+,Male,Pune,Basic,2023-09-13,Yes
V0061,45-54,Male,New York,Basic,2022-02-15,Yes
V0062,18-24,Non-binary,Kolkata,Premium,2023-03-18,Yes
V0063,35-44,Non-binary,Chennai,Family,2024-01-08,Yes
V0064,35-44,Non-binary,Bangalore,Basic,2023-02-17,No
V0065,45-54,Non-binary,Bangalore,Premium,2023-11-12,No
V0066,18-24,Female,Chennai,Basic,2023-07-16,No
V0067,55+,Non-binary,Kolkata,Family,2024-03-15,No
V0068,25-34,Non-binary,Ahmedabad,Basic,2023-03-29,Yes
V0069,55+,Non-binary,London,Premium,2022-10-18,Yes
V0070,25-34,Non-binary,Chennai,Basic,2024-04-18,Yes
V0071,18-24,Male,Hyderabad,Family,2022-05-31,Yes
V0072,45-54,Non-binary,London,Basic,2023-04-12,No
V0073,45-54,Male,Bangalore,Free,2023-05-22,Yes
