activity_id,viewer_id,movie_id,watch_date,watch_duration_min,completion_pct,platform,rating_given
WA00001,V0417,M003,2025-03-07,59,56,Web,8.5
WA00002,V0306,M010,2024-12-29,102,65,Web,4.9
WA00003,V0488,M012,2024-12-14,81,64,Mobile,3.5
WA00004,V0444,M013,2025-01-14,63,65,Web,7.8
WA00005,V0425,M003,2024-12-03,76,71,Web,8.2
WA00006,V0296,M011,2025-01-09,72,48,Smart TV,7.2
WA00007,V0207,M007,2025-01-24,40,41,Smart TV,7.7
WA00008,V0168,M015,2025-01-03,136,92,Mobile,9.0
WA00009,V0436,M014,2024-10-24,111,75,Mobile,8.5
WA00010,V0254,M007,2024-11-25,82,57,Smart TV,4.9
WA00011,V0290,M005,2024-12-26,73,46,Tablet,8.4
WA00012,V0051,M015,2025-03-24,33,35,Tablet,2.6
WA00013,V0001,M015,2024-11-10,128,88,Tablet,4.0
WA00014,V0448,M012,2024-11-03,64,50,Smart TV,3.2
WA00015,V0341,M006,2024-12-04,77,77,Web,2.9
WA00016,V0336,M011,2024-12-18,99,84,Mobile,7.8
WA00017,V0068,M001,2024-11-24,58,39,Web,6.4
WA00018,V0419,M008,2024-10-03,66,73,Mobile,9.9
WA00019,V0037,M007,2025-03-27,96,91,Web,5.4
WA00020,V0189,M012,2024-10-27,72,70,Smart TV,3.5
WA00021,V0272,M013,2024-11-04,41,38,Mobile,7.1
WA00022,V0322,M003,2025-01-21,76,57,Web,9.4
WA00023,V0045,M010,2025-03-25,83,57,Mobile,3.6
WA00024,V0494,M002,2025-02-28,102,74,Tablet,4.9
WA00025,V0128,M003,2024-12-03,50,40,Smart TV,8.3
WA00026,V0266,M012,2024-10-07,71,56,Web,8.1
WA00027,V0254,M005,2025-03-15,57,60,Tablet,3.3
WA00028,V0456,M008,2025-03-13,96,97,Mobile,9.9
WA00029,V0441,M015,2024-12-21,83,79,Tablet,5.2
WA00030,V0009,M011,2024-11-14,58,39,Mobile,2.6
WA00031,V0260,M004,2024-10-11,77,80,Smart TV,7.2
WA00032,V0043,M009,2025-01-15,116,81,Web,4.6
WA00033,V0499,M005,2024-10-21,86,56,Web,6.5
WA00034,V0358,M007,2025-02-28,67,69,Tablet,8.0
WA00035,V0045,M014,2024-12-01,59,61,Tablet,3.4
WA00036,V0342,M010,2025-03-05,66,69,Web,3.4
WA00037,V0255,M012,2024-11-05,45,50,Smart TV,6.4
WA00038,V0065,M013,2024-12-06,85,77,Smart TV,8.0
WA00039,V0140,M002,2024-10-08,110,84,Mobile,4.5
WA00040,V0234,M010,2025-03-10,92,93,Smart TV,2.9
WA00041,V0081,M014,2025-02-23,85,77,Smart TV,8.3
WA00042,V0380,M015,2025-02-24,61,59,Mobile,2.8
WA00043,V0242,M014,2024-10-04,42,35,Smart TV,5.4
WA00044,V0412,M003,2024-11-15,94,100,Tablet,4.2
WA00045,V0423,M004,2025-01-15,83,64,Mobile,6.8
WA00046,V0115,M002,2025-02-06,49,52,Mobile,9.7
WA00047,V0168,M002,2025-01-28,86,69,Mobile,6.6
WA00048,V0289,M001,2025-01-03,77,67,Smart TV,8.0
WA00049,V0396,M004,2025-01-27,127,93,Web,8.0
WA00050,V0478,M009,2024-12-02,32,30,Tablet,2.7
WA00051,V0001,M009,2024-12-28,65,72,Tablet,8.9
WA00052,V0272,M012,2024-12-18,57,56,Web,5.6
WA00053,V0023,M001,2024-11-06,51,41,Web,9.2
WA00054,V0499,M009,2025-01-14,120,88,Mobile,6.9
WA00055,V0304,M009,2024-11-04,54,39,Mobile,5.8
WA00056,V0436,M003,2024-11-30,80,63,Smart TV,9.4
WA00057,V0232,M007,2025-03-29,91,70,Smart TV,4.3
WA00058,V0055,M004,2024-11-04,50,49,Web,5.9
WA00059,V0184,M006,2025-01-13,102,98,Web,5.9
WA00060,V0081,M008,2024-12-07,43,41,Smart TV,8.7
WA00061,V0428,M012,2025-03-04,54,57,Smart TV,3.6
WA00062,V0263,M012,2024-12-03,108,80,Mobile,7.6
WA00063,V0438,M005,2024-11-14,75,81,Tablet,6.7
WA00064,V0053,M009,2024-12-03,90,89,Web,3.4
WA00065,V0422,M001,2024-11-26,58,55,Tablet,5.3
WA00066,V0470,M011,2025-03-15,63,63,Mobile,2.7
WA00067,V0048,M002,2024-11-20,67,46,Smart TV,3.4
WA00068,V0421,M008,2024-10-13,94,85,Tablet,6.2
WA00069,V0182,M007,2025-03-24,74,52,Web,9.3
WA00070,V0018,M005,2024-12-11,72,49,Web,7.4
WA00071,V0032,M008,2025-01-14,145,91,Mobile,4.6
WA00072,V0128,M003,2025-01-16,111,97,Mobile,9.9
WA00073,V0401,M013,2024-12-31,149,99,Tablet,5.1
WA00074,V0139,M010,2025-02-06,103,79,Web,2.7
WA00075,V0030,M010,2024-11-26,60,65,Tablet,6.5
WA00076,V0052,M013,2025-02-27,59,50,Web,7.4
WA00077,V0295,M005,2025-02-14,56,58,Tablet,5.2
WA00078,V0304,M014,2024-11-14,67,60,Smart TV,8.5
WA00079,V0486,M012,2024-12-31,69,75,Web,6.7
WA00080,V0090,M004,2025-02-04,109,69,Tablet,2.8
WA00081,V0270,M001,2024-11-29,37,32,Tablet,2.5
WA00082,V0175,M015,2025-03-07,52,46,Web,9.4
WA00083,V0076,M014,2024-12-22,31,32,Web,8.3
WA00084,V0192,M014,2025-02-12,53,39,Tablet,6.9
WA00085,V0500,M006,2024-12-17,61,47,Web,8.0
WA00086,V0090,M007,2025-03-13,106,70,Smart TV,4.2
WA00087,V0376,M010,2024-11-14,95,69,Smart TV,3.5
WA00088,V0094,M012,2024-10-01,47,34,Smart TV,9.4
WA00089,V0073,M010,2024-11-26,95,93,Smart TV,8.1
WA00090,V0326,M004,2024-12-28,66,51,Mobile,8.7
WA00091,V0006,M011,2025-03-13,114,87,Smart TV,4.1
WA00092,V0403,M012,2024-10-18,83,62,Mobile,7.9
WA00093,V0497,M001,2025-01-07,121,83,Web,9.1
WA00094,V0193,M008,2025-01-05,132,99,Mobile,8.7
WA00095,V0232,M013,2025-02-25,59,50,Mobile,8.5
WA00096,V0134,M001,2024-12-15,64,70,Mobile,3.1
WA00097,V0281,M003,2025-01-05,42,39,Mobile,5.0
WA00098,V0483,M010,2025-02-01,79,85,Web,7.1
WA00099,V0170,M007,2024-11-10,40,42,Web,9.8
WA00100,V0136,M007,2025-03-28,158,99,Smart TV,4.7
WA00101,V0431,M002,2024-10-13,140,100,Tablet,3.7
WA00102,V0151,M006,2024-10-01,59,41,Tablet,4.0
WA00103,V0042,M001,2024-11-22,74,67,Tablet,8.8
WA00104,V0459,M005,2025-01-10,138,92,Smart TV,3.2
WA00105,V0454,M009,2025-01-08,87,77,Tablet,5.3
WA00106,V0239,M008,2024-10-12,105,86,Smart TV,4.2
WA00107,V0386,M005,2025-02-22,47,49,Mobile,3.1
WA00108,V0284,M006,2025-02-16,83,59,Mobile,8.8
WA00109,V0352,M014,2025-02-11,140,98,Tablet,6.8
WA00110,V0203,M004,2025-01-30,51,40,Mobile,6.3
WA00111,V0487,M015,2025-02-10,48,45,Tablet,3.8
WA00112,V0022,M003,2024-11-24,52,46,Tablet,3.1
WA00113,V0428,M011,2025-01-20,55,48,Smart TV,4.9
WA00114,V0285,M012,2024-10-18,79,79,Tablet,6.6
WA00115,V0470,M014,2024-12-10,137,88,Mobile,8.4
WA00116,V0058,M010,2025-02-28,129,83,Tablet,3.6
WA00117,V0289,M010,2025-02-28,43,43,Mobile,8.4
WA00118,V0136,M014,2025-02-15,109,82,Tablet,7.4
WA00119,V0089,M010,2025-03-05,51,34,Smart TV,5.5
WA00120,V0203,M010,2025-03-05,47,34,Smart TV,7.7
WA00121,V0011,M001,2025-01-30,95,77,Smart TV,8.6
WA00122,V0440,M005,2024-12-19,115,92,Mobile,9.8
WA00123,V0397,M004,2024-11-04,110,86,Smart TV,4.5
WA00124,V0227,M007,2025-03-04,54,54,Web,9.4
WA00125,V0421,M007,2025-02-02,120,77,Mobile,6.4
WA00126,V0207,M003,2024-10-17,121,94,Web,8.4
WA00127,V0099,M009,2025-02-23,48,52,Web,8.8
WA00128,V0471,M004,2024-10-09,53,36,Smart TV,7.8
WA00129,V0204,M005,2025-01-03,140,94,Mobile,7.6
WA00130,V0091,M004,2025-01-04,132,87,Tablet,6.9
WA00131,V0384,M006,2024-12-28,69,63,Mobile,4.6
WA00132,V0439,M007,2024-10-13,62,57,Web,7.4
WA00133,V0263,M011,2024-11-22,101,82,Mobile,9.0
WA00134,V0467,M013,2025-03-24,81,90,Web,7.4
WA00135,V0312,M010,2024-10-03,73,62,Smart TV,7.8
WA00136,V0459,M012,2025-03-14,105,84,Tablet,8.9
WA00137,V0155,M008,2024-12-04,104,89,Tablet,6.9
WA00138,V0153,M001,2025-02-08,90,66,Mobile,6.1
WA00139,V0134,M006,2024-12-10,85,65,Smart TV,3.9
WA00140,V0339,M009,2024-12-01,78,81,Smart TV,7.6
WA00141,V0133,M012,2024-10-07,102,67,Tablet,5.5
WA00142,V0372,M012,2024-10-10,83,73,Web,7.6
WA00143,V0154,M011,2025-01-30,126,94,Web,8.8
WA00144,V0050,M015,2025-02-20,75,67,Tablet,3.5
WA00145,V0336,M005,2025-02-21,81,72,Mobile,4.2
WA00146,V0191,M004,2024-12-18,102,72,Smart TV,6.9
WA00147,V0444,M008,2024-10-31,54,36,Mobile,6.0
WA00148,V0272,M004,2025-02-06,81,78,Smart TV,5.6
WA00149,V0176,M014,2024-11-08,58,55,Tablet,9.9
WA00150,V0442,M015,2025-01-26,75,70,Web,8.3
WA00151,V0325,M008,2024-12-25,78,70,Mobile,2.5
WA00152,V0251,M005,2024-11-23,55,50,Mobile,3.5
WA00153,V0220,M007,2025-03-12,116,81,Tablet,5.4
WA00154,V0487,M001,2025-02-14,88,77,Mobile,9.2
WA00155,V0347,M013,2025-02-13,36,32,Mobile,7.2
WA00156,V0067,M004,2024-11-27,92,69,Mobile,5.4
WA00157,V0422,M010,2024-12-18,42,38,Mobile,4.7
WA00158,V0173,M005,2025-01-25,151,97,Tablet,9.2
WA00159,V0385,M003,2024-12-27,114,75,Web,3.7
WA00160,V0115,M015,2025-01-12,54,59,Web,4.1
WA00161,V0064,M001,2025-02-28,78,51,Smart TV,7.8
WA00162,V0395,M013,2024-10-10,85,62,Mobile,7.0
WA00163,V0025,M001,2025-03-19,32,32,Mobile,5.6
WA00164,V0243,M007,2024-11-01,99,62,Web,4.0
WA00165,V0216,M011,2025-03-11,61,68,Mobile,7.5
